post_shortcode,commenter_profile,comment_text,comment_likes
DIHSfqPNuDW,<Profile dhruv_tanna45 (48362793689)>,,5
DIHSfqPNuDW,<Profile abhishek_02605 (44056878519)>,UP always does it better than everybody else,0
DIHSfqPNuDW,<Profile shyamprasanth2004 (44500554033)>,,0
DIHSfqPNuDW,<Profile stutiagarwal__ (3557125551)>,Lololololol,17
DIHSfqPNuDW,<Profile singhstagram2 (48207765932)>,UP spoiled both 300/400 Paar.,974
DIHSfqPNuDW,<Profile vishal.karki.chetri (9455121435)>,Humbled by UP,0
DIHSfqPNuDW,<Profile itachii._.iii (70622140913)>,,3
DIHSfqPNuDW,<Profile ssup.parul (47344547576)>,Sudhar gaye toh UP wala kaun kahega,0
DIHSfqPNuDW,<Profile _probably_vijay_ (55345182386)>,Kisi din comeback hogaya na tab samne wale royenge,7
DIHSfqPNuDW,<Profile sauravsingh_9 (8391103745)>,,0
DIHSfqPNuDW,<Profile _partha__77 (53450717122)>,Dono kolkata mai nehi chali,6
DIHSfqPNuDW,<Profile falco408_ (48995013223)>,Humbled? (Definitely not ghe first one),8
DIHSfqPNuDW,<Profile aayatqureshi.14 (55157362886)>,,3
DIHSfqPNuDW,<Profile hishzz (58393918076)>,He went on to win WTC and 50 over WC after this but not a T20 material even in bbl he struggled a lot,138
DIHSfqPNuDW,<Profile dare_devil_75 (9396161838)>,As long as kolkata is there both can't win with this agenda ,67
DIHSfqPNuDW,<Profile 077.anonymous (70870217220)>,You seem hard core srh and austrilia hater.. Bad days come for every team but comeback hoga jab hoga us din bolna,5
DIHSfqPNuDW,<Profile thor_artilary (70631332177)>,Expect an Comeback ,3
DIHSfqPNuDW,<Profile whenumet_satyam (42825590876)>,stopped by Yadavji from UP ,106
DIHSfqPNuDW,<Profile timeless_traction (65809036306)>,Bhai Mai Srh ka fan hu lekin ye bhot hard tha ,23
DIHSfqPNuDW,<Profile shivansh____18 (10224233481)>,Warra a OBSERVATION ,6
DIHSfqPNuDW,<Profile godisgoyal (54629277492)>,But 1st won the election though ,1
DIHSfqPNuDW,<Profile n33lak5h07 (63487203124)>,"Ek ne WTC aur WC jeeta, aur ek ne akela pure INDIA block se zyada Seats laaye",12
DIHSfqPNuDW,<Profile sen1ne6ix (25019217826)>,And all India spoiled it,1
DIHSfqPNuDW,<Profile shukla0546 (4517933489)>,"लेफ्ट साइड वाला 240 पर भी मैच जीत रहा है, ग़द्दारों को पेल रहा है, धारा 370  तीन तलाक  वक्फ बोर्ड  राम मंदिर  CAA  NRC UCC LODING....... ",12
DIHSfqPNuDW,<Profile _anirudhk27 (67740464601)>,"Bible says: 	1. Genesis 3:16 - ""To the woman he said, 'I will greatly increase your pains in childbearing; with pain you will give birth to children. Your desire will be for your husband, and he will rule over you.""� 2. Timothy 2:12 - ""I do not permit a woman to teach or to assume authority over a man; she must be quiet.""� 3. Ephesians 5:22 - ""Wives, submit yourselves to your own husbands as you do to the Lord.""� 4. Leviticus 12:2-5 - This passage discusses the purification of women after childbirth, indicating that a woman is considered unclean for a period of time after giving birth to a girl.� 5. Deuteronomy 22:13-21 - This law addresses accusations against a woman regarding her virginity and prescribes severe consequences, reflecting a harsh view of women's sexuality.�",1
DIHSfqPNuDW,<Profile crunchy_cookieee (1634890131)>,,0
DIHSfqPNuDW,<Profile potatopian_patriot (704245093)>,"Bruhs I get the hate for one of them, but *please* don't equate them. One of them is a gem ",0
DIHSfqPNuDW,<Profile akkula.vigneesh (71283643710)>,but at last still managed to win the elections and maybe now srh trophy,0
DIHSfqPNuDW,<Profile __prag___ (11550482242)>,,0
DIHSfqPNuDW,<Profile shiva_20_se7en (4086291766)>,Darker than dark matter...,0
DIHSfqPNuDW,<Profile simplyme9297 (56956377611)>,"BJP made a great comeback after that, hoping for a comeback from SRH as well",0
DIHSfqPNuDW,<Profile darshan9597 (5636653364)>,,0
DIHSfqPNuDW,<Profile _shubhcool.42_ (50750556887)>,,0
DIHSfqPNuDW,<Profile _anirudhk27 (67740464601)>,"Islam is a very peaceful religion, its kills its own kind in the name of Shia & Sunni ideologies",0
DIHSfqPNuDW,<Profile _anirudhk27 (67740464601)>,"Christianity is a very peaceful religion, its kills its own kind in the name of Catholic & Protestant ideologies",0
DIHSfqPNuDW,<Profile dd_posting_randomly (59068074908)>,,0
DIHSfqPNuDW,<Profile chowdhury_sj10 (63640916663)>,Both are destroyed in Kolkata,0
DIHSfqPNuDW,<Profile death__stroke90 (51694093920)>,For chapri fans IPL >>> WC and Rahul >> Modi ,0
DIHSfqPNuDW,<Profile aditya.b_92 (2056105929)>,But I'm sure that opponents have that constant fear always in their hearts.... Kab par ho jaye...,0
DIHSfqPNuDW,<Profile shivang19_1 (70986216750)>,Both parties have won a lot,0
DIHSfqPNuDW,<Profile _mr.nobody1327_ (61350588445)>,difference...one is still in rule...,0
DIHSfqPNuDW,<Profile uvais.kharadi (3665981885)>,Coincidentally both are orange army ,0
DIHSfqPNuDW,<Profile mayureshkothekar (3553280375)>,That slogan is curse,0
DIHSfqPNuDW,<Profile hibiscus_red24 (8313275094)>,,0
DIHSfqPNuDW,<Profile rg260514 (1519951354)>,,0
DIHSfqPNuDW,<Profile aaftab._18 (24053601621)>,But still can't,0
DIHSfqPNuDW,<Profile the_logical_dude (4300927185)>,,0
DIHSfqPNuDW,<Profile mazan_khan_ (1929111721)>,,0
