post_shortcode,commenter_username,comment_text,comment_likes
DFXG2mXoGj6,<Profile n4vcam (48147713046)>,AREYYY:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,8339
DFXG2mXoGj6,<Profile oniii_chan_69_ (37826770076)>,It's really mind-blowing bhaiya using it from yesterday the final result it provides is far better understandable than chatgpt,531
DFXG2mXoGj6,<Profile yunus.i7 (7148353145)>,Ai programers ko replace karne aye the ab khud hi ladd rahe hai:rolling_on_the_floor_laughing:,550
DFXG2mXoGj6,<Profile varnitvishwakarma (15205638091)>,Sigma bhai :fire::face_with_tears_of_joy:,11
DFXG2mXoGj6,<Profile mohsinthekid (39963250703)>,Search: what happen in tiananmen square in 1989,2
DFXG2mXoGj6,<Profile kartik_arya_16_ (55017177376)>,:speaking_head:Areee hattttt naaaaaa...:moai::face_with_tears_of_joy:,3712
DFXG2mXoGj6,<Profile pawan.jatoliya_ (16130836943)>,Human ki job jane se phle ChatGPT ki job chali gyi:face_with_tears_of_joy::thumbs_up_light_skin_tone:,174
DFXG2mXoGj6,<Profile jayydashrath (45750729783)>,I can’t believe ChatGPT lost its job to AI,4833
DFXG2mXoGj6,<Profile um._.ais (69562258301)>,Kuch samajh nahi aaya par sunke acha laga,1
DFXG2mXoGj6,<Profile domnicsthematrix (49143311335)>,Russia is sipping coke in corner:skull::fire::raising_hands:,2
DFXG2mXoGj6,<Profile shahenshah_x (41046904166)>,Ladke nai padhenge Bhai :face_with_tears_of_joy:,292
DFXG2mXoGj6,<Profile itz_sudipx (71323179567)>,Editing Night By Night :skull:,329
DFXG2mXoGj6,<Profile mr_darshan_69 (47552906580)>,We got AI replacing AI before GTA 6,6
DFXG2mXoGj6,<Profile mohd__shuaibs (61963293759)>,Intro :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,2
DFXG2mXoGj6,<Profile simply.sudeb_ (52254794385)>,Saying traffic high,2
DFXG2mXoGj6,<Profile jibantimung (13106524471)>,AI lost job to AI,14
